Which type is used for whole numbers?|int|float|double|bool|0
Which type is used for decimal numbers?|float|int|double|char|0
Which type stores a single character?|char|string|int|bool|0
Which type stores true/false values?|bool|logic|int|char|0
Size of int is typically?|4 bytes|1 byte|8 bytes|2 bytes|0
Size of char is?|1 byte|4 bytes|8 bytes|2 bytes|0
Size of float is?|4 bytes|8 bytes|2 bytes|1 byte|0
Size of double is?|8 bytes|4 bytes|2 bytes|16 bytes|0
Which is unsigned integer?|unsigned int|signed int|const int|static int|0
Which keyword declares a constant?|const|final|static|volatile|0
long int stores at least how many bits?|32|16|64|8|0
short int is at least how many bits?|16|32|64|8|0
Which is the largest data type?|long double|int|float|double|3
Which type has no sign bit?|unsigned|signed|const|static|0
What is the range of char?|-128 to 127|0 to 255|0 to 127|-256 to 256|1
Which is not a valid variable name?|2var|var2|my_var|VAR|0
Which symbol is used for comments?|//|**|##|--|0
Which is a keyword?|auto|variable|function|data|0
Which is not a storage class?|global|static|extern|register|0
Default value of local variable?|Garbage|Zero|Null|None|0
Arithmetic operator for addition?|+|-|*|/|0
Operator for subtraction?|-|+|*|/|0
Multiplication operator?|*|/|+|-|0
Division operator?|/|%|*|+|0
Modulo (remainder) operator?|%|/|*|+|0
Increment operator?|++|--|+|-|0
Decrement operator?|--|++|*|/|0
Assignment operator?|=|==|!=|!|0
Equality comparison?|==|=|!=|!|0
Not equal to?|!=|==|!|~|0
Greater than?|>|<|>=|<=|0
Less than?|<|>|<=|>=|0
Greater than or equal?|>=|<=|>|<|0
Less than or equal?|<=|>=|<|>|0
Logical AND?|&&|||!|0
Logical OR?||||||&&|!|0
Logical NOT?|!|~|&|#|0
Bitwise AND?|&|&&|||~|0
Bitwise OR?||||||&&|~|0
Left shift operator?|<<|>>|<|>|0
Right shift operator?|>>|<<|><|<>|0
Bitwise XOR operator?|^|~|&|~|0
Which loop runs at least once?|do-while|while|for|if|0
Which loop checks condition first?|while|do-while|for|switch|0
for loop has how many parts?|3|2|4|5|0
Keyword to skip iteration?|continue|break|return|exit|0
Keyword to exit loop?|break|continue|return|exit|0
Which is selection statement?|if|for|while|do|0
else is paired with?|if|switch|for|while|0
switch uses which keyword for cases?|case|when|match|select|0
Default case in switch?|default|else|otherwise|default_case|0
Which loop is entry-controlled?|for|do-while|while|foreach|0
Which loop is exit-controlled?|do-while|for|while|foreach|0
Nested loops mean?|loop inside loop|parallel loops|sequential loops|separate loops|0
goto is a?|jump statement|loop|function|declaration|0
Which is not a loop?|if|for|while|do-while|0
Infinite loop example?|for(;;)|for(i=0;i<10;i++)|while(i<10)|do-while(true)|0
break works in?|switch and loops|only loops|only switch|functions|0
continue works in?|loops|switch|both|functions|0
Which has fall-through?|switch|if-else|for|while|0
Which needs break in switch?|case|if|else|default|0
else if is used for?|multiple conditions|loop|function|declaration|0
Function without return value?|void|null|none|undefined|0
main() returns?|int|void|bool|char|0
Function definition has?|body and braces|prototype only|declaration|signature|0
Function declaration is also called?|prototype|definition|signature|implementation|0
Parameters are passed in?|parentheses|braces|brackets|angle brackets|0
return statement does what?|exits function and returns value|continues execution|loops|restarts function|0
Can a function return multiple values?|No, only one|Yes, directly|Yes, with arrays|Yes, always|0
How to return multiple values?|using pointers/struct|directly|with arrays|with globals|0
Default return type if not specified?|int|void|char|float|0
Which is a library function?|printf|myfunc|calculate|process|0
Recursion means?|function calls itself|loop structure|array access|pointer use|0
Base case is needed in?|recursion|iteration|function|main|0
